#ip-address apv-chip-id apv-pad-id module-id pin-id pad-id
192.168.35.18 5 8 102 8 800
192.168.35.18 6 8 102 8 619
192.168.35.18 7 8 102 8 810
192.168.35.18 8 8 102 8 1065
192.168.35.18 9 8 102 8 1060
192.168.35.18 10 8 102 8 1075
192.168.35.18 11 8 102 8 1070
192.168.35.17 12 8 103 8 1070
192.168.35.17 13 8 103 8 1075
192.168.35.17 14 8 103 8 1060
192.168.35.17 15 8 103 8 1065
192.168.35.17 16 8 103 8 810
192.168.35.17 17 8 103 8 619
192.168.35.17 18 8 103 8 800
192.168.35.17 19 8 103 8 609
192.168.35.17 20 8 103 8 314
192.168.35.17 21 8 103 8 319
192.168.35.17 22 8 103 8 304
192.168.35.17 23 8 103 8 309
192.168.35.17 0 8 104 8 309
192.168.35.17 1 8 104 8 304
192.168.35.17 2 8 104 8 319
192.168.35.17 3 8 104 8 314
192.168.35.17 4 8 104 8 609
192.168.35.17 5 8 104 8 800
192.168.35.17 6 8 104 8 619
192.168.35.17 7 8 104 8 810
192.168.35.17 8 8 104 8 1065
192.168.35.17 9 8 104 8 1060
192.168.35.17 10 8 104 8 1075
192.168.35.17 11 8 104 8 1070
192.168.35.71 0 8 106 8 1065
192.168.35.71 1 8 106 8 1060
192.168.35.71 2 8 106 8 1075
192.168.35.71 3 8 106 8 1070
192.168.35.71 4 8 106 8 800
192.168.35.71 5 8 106 8 609
192.168.35.71 6 8 106 8 810
192.168.35.71 7 8 106 8 619
192.168.35.71 8 8 106 8 309
192.168.35.71 9 8 106 8 304
192.168.35.71 10 8 106 8 319
192.168.35.71 11 8 106 8 314
192.168.35.71 12 8 107 8 1065
192.168.35.71 13 8 107 8 1060
192.168.35.71 14 8 107 8 1075
192.168.35.71 15 8 107 8 1070
192.168.35.71 16 8 107 8 800
192.168.35.71 17 8 107 8 609
192.168.35.71 18 8 107 8 810
192.168.35.71 19 8 107 8 619
192.168.35.71 20 8 107 8 309
192.168.35.71 21 8 107 8 304
192.168.35.71 22 8 107 8 319
192.168.35.71 23 8 107 8 314
192.168.35.72 0 8 108 8 1065
192.168.35.72 1 8 108 8 1060
192.168.35.72 2 8 108 8 1075
192.168.35.72 3 8 108 8 1070
192.168.35.72 4 8 108 8 800
192.168.35.72 5 8 108 8 609
192.168.35.72 6 8 108 8 810
192.168.35.72 7 8 108 8 619
192.168.35.72 8 8 108 8 309
192.168.35.72 9 8 108 8 304
192.168.35.72 10 8 108 8 319
192.168.35.72 11 8 108 8 314
192.168.35.72 20 8 109 8 1065
192.168.35.72 21 8 109 8 1060
192.168.35.72 14 8 109 8 1075
192.168.35.72 15 8 109 8 1070
192.168.35.72 16 8 109 8 800
192.168.35.72 17 8 109 8 609
192.168.35.72 18 8 109 8 810
192.168.35.72 19 8 109 8 619
192.168.35.72 12 8 109 8 309
192.168.35.72 13 8 109 8 304
