# A : Adujst (misalign paramter)
# D : Design values
# Key                                     x [mm]       y [mm]       z [mm]   rotx [deg]   roty [deg]   rotz [deg]  cent_x [mm]  cent_y [mm]  cent_z [mm]
A:E16:GTR:Frame03:Layer01:Chamber10            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame03:Layer01:Chamber11            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame03:Layer02                      0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame03:Layer02:Chamber09            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame03:Layer02:Chamber10            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame03:Layer02:Chamber11            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame04                              0            0            0            0            0            0            0      -460.29       461.71
A:E16:GTR:Frame04:Layer00                      0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame04:Layer00:Chamber12            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame04:Layer00:Chamber13            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame04:Layer00:Chamber14            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame04:Layer01                      0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame04:Layer01:Chamber12            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame04:Layer01:Chamber13            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame04:Layer01:Chamber14            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame04:Layer02                      0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame04:Layer02:Chamber12            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame04:Layer02:Chamber13            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame04:Layer02:Chamber14            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame05                              0            0            0            0            0            0            0      -460.29       461.71
A:E16:GTR:Frame05:Layer00                      0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame05:Layer00:Chamber15            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame05:Layer00:Chamber16            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame05:Layer00:Chamber17            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame05:Layer01                      0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame05:Layer01:Chamber15            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame05:Layer01:Chamber16            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame05:Layer01:Chamber17            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame05:Layer02                      0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame05:Layer02:Chamber15            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame05:Layer02:Chamber16            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame05:Layer02:Chamber17            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame06                              0            0            0            0            0            0            0      -460.29       461.71
A:E16:GTR:Frame06:Layer00                      0            0            0            0            0            0            0            0            0
