#GTR 10cm center-y
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.

#GTR1 Local roty
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.

#GTR2 Local roty
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.

#GTR3 Local roty
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.

#GTR1 Local rotz
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.

#GTR2 Local rotz
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.

#GTR3 Local rotz
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.
0.  0.  0.

#GTR frame Local dx
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.

#GTR frame Local dy
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.

#GTR frame Local dz
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.

#GTR frame rotation center x
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.

#GTR frame rotation center y
-46.029
-46.029
-46.029
-46.029
-46.029
-46.029
-46.029
-46.029
-46.029
-46.029
-46.029

#GTR frame rotation center z
46.171
46.171
46.171
46.171
46.171
46.171
46.171
46.171
46.171
46.171
46.171

#GTR frame Local rotation x
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
