YL1	1	289
YL1	2	290
YL1	3	291
YL1	4	292
YL1	5	293
YL1	6	294
YL1	7	295
YL1	8	296
YL1	9	297
YL1	10	298
YL1	11	299
YL1	12	300
YL1	13	301
YL1	14	302
YL1	15	303
YL1	16	304
YL1	17	305
YL1	18	306
YL1	19	307
YL1	20	308
YL1	21	309
YL1	22	310
YL1	23	311
YL2	0	312
YL2	1	313
YL2	2	314
YL2	3	315
YL2	4	316
YL2	5	317
YL2	6	318
YL2	7	319
YL2	8	320
YL2	9	321
YL2	10	322
YL2	11	323
YL2	12	324
YL2	13	325
YL2	14	326
YL2	15	327
YL2	16	328
YL2	17	329
YL2	18	330
YL2	19	331
YL2	20	332
YL2	21	333
YL2	22	334
YL2	23	335
YL3	0	336
YL3	1	337
YL3	2	338
YL3	3	339
YL3	4	340
YL3	5	341
YL3	6	342
YL3	7	343
YL3	8	344
YL3	9	345
YL3	10	346
YL3	11	347
YL3	12	348
YL3	13	349
YL3	14	350
YL3	15	351
YL3	16	352
YL3	17	353
YL3	18	354
YL3	19	355
YL3	20	356
YL3	21	357
YL3	22	358
YL3	23	359
YR1	0	360
YR1	1	361
YR1	2	362
YR1	3	363
YR1	4	364
YR1	5	365
YR1	6	366
YR1	7	367
YR1	8	368
YR1	9	369
YR1	10	370
YR1	11	371
YR1	12	372
YR1	13	373
YR1	14	374
YR1	15	375
YR1	16	376
YR1	17	377
YR1	18	378
YR1	19	379
YR1	20	380
YR1	21	381
YR1	22	382
YR1	23	383
YR2	0	384
YR2	1	385
YR2	2	386
YR2	3	387
YR2	4	388
YR2	5	389
YR2	6	390
YR2	7	391
YR2	8	392
YR2	9	393
YR2	10	394
YR2	11	395
YR2	12	396
YR2	13	397
YR2	14	398
YR2	15	399
YR2	16	400
YR2	17	401
YR2	18	402
YR2	19	403
YR2	20	404
YR2	21	405
YR2	22	406
YR2	23	407
YR3	0	408
YR3	1	409
YR3	2	410
YR3	3	411
YR3	4	412
YR3	5	413
YR3	6	414
YR3	7	415
YR3	8	416
YR3	9	417
YR3	10	418
YR3	11	419
YR3	12	420
YR3	13	421
YR3	14	422
YR3	15	423
YR3	16	424
YR3	17	425
YR3	18	426
YR3	19	427
YR3	20	428
YR3	21	429
YR3	22	430
YR3	23	431
