#ip-address apv-chip-id apv-multiplexer-out module-id pin-id pad-id
192.168.35.17 9 3 104 96 1003
192.168.35.17 10 3 104 96 1018
192.168.35.17 11 3 104 96 1013
192.168.35.17 12 3 103 96 1013
192.168.35.17 13 3 103 96 1018
192.168.35.17 14 3 103 96 1003
192.168.35.17 15 3 103 96 1008
192.168.35.17 16 3 -1 96 -1
192.168.35.17 17 3 -1 96 -1
192.168.35.17 18 3 -1 96 -1
192.168.35.17 19 3 -1 96 -1
192.168.35.17 20 3 -1 96 -1
192.168.35.17 21 3 -1 96 -1
192.168.35.17 22 3 -1 96 -1
192.168.35.17 23 3 -1 96 -1
192.168.35.18 0 3 103 96 737
192.168.35.18 1 3 103 96 692
192.168.35.18 2 3 103 96 727
192.168.35.18 3 3 103 96 682
192.168.35.18 4 3 103 96 411
192.168.35.18 5 3 103 96 416
192.168.35.18 6 3 103 96 401
192.168.35.18 7 3 103 96 406
192.168.35.18 8 3 106 96 1008
192.168.35.18 9 3 106 96 1003
192.168.35.18 10 3 106 96 1018
192.168.35.18 11 3 106 96 1013
192.168.35.18 12 3 106 96 727
192.168.35.18 13 3 106 96 682
192.168.35.18 14 3 106 96 737
192.168.35.18 15 3 106 96 692
192.168.35.18 16 3 -1 96 -1
192.168.35.18 17 3 -1 96 -1
192.168.35.18 18 3 -1 96 -1
192.168.35.18 19 3 -1 96 -1
192.168.35.18 20 3 -1 96 -1
192.168.35.18 21 3 -1 96 -1
192.168.35.18 22 3 -1 96 -1
192.168.35.18 23 3 -1 96 -1
192.168.35.19 0 3 106 96 406
192.168.35.19 1 3 106 96 401
192.168.35.19 2 3 106 96 416
192.168.35.19 3 3 106 96 411
192.168.35.19 4 3 107 96 1008
192.168.35.19 5 3 107 96 1003
192.168.35.19 6 3 107 96 1018
192.168.35.19 7 3 107 96 1013
192.168.35.19 8 3 107 96 727
192.168.35.19 9 3 107 96 682
192.168.35.19 10 3 107 96 737
192.168.35.19 11 3 107 96 692
192.168.35.19 12 3 107 96 406
192.168.35.19 13 3 107 96 401
192.168.35.19 14 3 107 96 416
192.168.35.19 15 3 107 96 411
192.168.35.19 16 3 -1 96 -1
192.168.35.19 17 3 -1 96 -1
192.168.35.19 18 3 -1 96 -1
192.168.35.19 19 3 -1 96 -1
192.168.35.19 20 3 -1 96 -1
192.168.35.19 21 3 -1 96 -1
192.168.35.19 22 3 -1 96 -1
192.168.35.19 23 3 -1 96 -1
192.168.35.17 0 4 104 8 309
192.168.35.17 1 4 104 8 304
192.168.35.17 2 4 104 8 319
192.168.35.17 3 4 104 8 314
192.168.35.17 4 4 104 8 609
192.168.35.17 5 4 104 8 800
192.168.35.17 6 4 104 8 619
192.168.35.17 7 4 104 8 810
192.168.35.17 8 4 104 8 1065
192.168.35.17 9 4 104 8 1060
192.168.35.17 10 4 104 8 1075
192.168.35.17 11 4 104 8 1070
192.168.35.17 12 4 103 8 1070
192.168.35.17 13 4 103 8 1075
192.168.35.17 14 4 103 8 1060
192.168.35.17 15 4 103 8 1065
192.168.35.17 16 4 -1 8 -1
192.168.35.17 17 4 -1 8 -1
192.168.35.17 18 4 -1 8 -1
192.168.35.17 19 4 -1 8 -1
192.168.35.17 20 4 -1 8 -1
192.168.35.17 21 4 -1 8 -1
192.168.35.17 22 4 -1 8 -1
192.168.35.17 23 4 -1 8 -1
192.168.35.18 0 4 103 8 810
192.168.35.18 1 4 103 8 619
192.168.35.18 2 4 103 8 800
192.168.35.18 3 4 103 8 609
192.168.35.18 4 4 103 8 314
192.168.35.18 5 4 103 8 319
192.168.35.18 6 4 103 8 304
192.168.35.18 7 4 103 8 309
192.168.35.18 8 4 106 8 1065
192.168.35.18 9 4 106 8 1060
192.168.35.18 10 4 106 8 1075
192.168.35.18 11 4 106 8 1070
192.168.35.18 12 4 106 8 800
192.168.35.18 13 4 106 8 609
192.168.35.18 14 4 106 8 810
192.168.35.18 15 4 106 8 619
192.168.35.18 16 4 -1 8 -1
192.168.35.18 17 4 -1 8 -1
192.168.35.18 18 4 -1 8 -1
192.168.35.18 19 4 -1 8 -1
192.168.35.18 20 4 -1 8 -1
192.168.35.18 21 4 -1 8 -1
192.168.35.18 22 4 -1 8 -1
192.168.35.18 23 4 -1 8 -1
192.168.35.19 0 4 106 8 309
192.168.35.19 1 4 106 8 304
192.168.35.19 2 4 106 8 319
192.168.35.19 3 4 106 8 314
192.168.35.19 4 4 107 8 1065
192.168.35.19 5 4 107 8 1060
192.168.35.19 6 4 107 8 1075
192.168.35.19 7 4 107 8 1070
192.168.35.19 8 4 107 8 800
192.168.35.19 9 4 107 8 609
